iter	Passed	Remaining
456	835	992
457	836	990
458	838	988
459	840	986
460	842	984
461	843	982
462	845	981
463	847	979
464	849	977
465	851	975
466	852	973
467	854	971
468	856	969
469	858	967
470	860	965
471	861	964
472	863	962
473	865	960
474	867	958
475	868	956
476	870	954
477	872	953
478	874	951
479	876	949
480	878	947
481	879	945
482	881	943
483	883	942
484	885	940
485	887	938
486	888	936
487	890	934
488	892	932
489	894	931
490	896	929
491	898	927
492	899	925
493	901	923
494	903	921
495	905	919
496	907	918
497	908	916
498	910	914
499	912	912
500	914	910
501	916	908
502	917	906
503	919	904
504	921	903
505	923	901
506	925	899
507	927	897
508	929	896
509	931	894
510	933	893
511	935	891
512	936	889
513	938	887
514	940	885
515	942	883
516	944	881
517	945	880
518	948	878
519	951	877
520	953	877
521	956	875
522	958	873
523	960	872
524	962	871
525	964	869
526	966	867
527	968	865
528	970	863
529	972	861
530	973	860
531	975	858
532	977	856
533	978	854
534	980	852
535	982	850
536	984	848
537	986	846
538	988	845
539	990	843
540	992	841
541	993	839
542	995	837
543	997	836
544	999	834
545	1001	832
546	1002	830
547	1004	828
548	1006	826
549	1008	824
550	1010	823
551	1011	821
552	1013	819
553	1015	817
554	1017	815
555	1018	813
556	1020	811
557	1022	809
558	1024	807
559	1025	806
560	1027	804
561	1029	802
562	1031	800
563	1033	798
564	1034	796
565	1036	794
566	1038	792
567	1040	791
568	1041	789
569	1043	787
570	1045	785
571	1047	783
572	1048	781
573	1050	779
574	1052	777
575	1054	776
576	1056	774
577	1057	772
578	1059	770
579	1061	768
580	1063	766
581	1064	764
582	1066	763
583	1068	761
584	1070	759
585	1072	757
586	1074	755
587	1076	754
588	1078	752
589	1080	750
590	1081	748
591	1083	746
592	1085	744
593	1087	743
594	1089	741
595	1091	740
596	1093	738
597	1095	736
598	1097	734
599	1099	732
600	1100	730
601	1102	728
602	1104	727
603	1106	725
604	1107	723
605	1109	721
606	1111	719
607	1113	717
608	1114	715
609	1116	713
610	1118	712
611	1120	710
612	1121	708
613	1123	706
614	1125	704
615	1127	702
616	1128	700
617	1130	698
618	1132	697
619	1134	695
620	1135	693
621	1137	691
622	1139	689
623	1141	687
624	1142	685
625	1144	683
626	1146	682
627	1148	680
628	1149	678
629	1151	676
630	1153	674
631	1155	672
632	1156	670
633	1158	668
634	1160	667
635	1162	665
636	1164	663
637	1165	661
638	1167	659
639	1169	657
640	1170	655
641	1172	653
642	1174	652
643	1176	650
644	1177	648
645	1179	646
646	1181	644
647	1183	642
648	1184	640
649	1186	638
650	1188	637
651	1190	635
652	1192	633
653	1193	631
654	1195	629
655	1197	627
656	1198	625
657	1200	623
658	1202	622
659	1203	620
660	1205	618
661	1207	616
662	1209	614
663	1210	612
664	1212	610
665	1214	609
666	1216	607
667	1218	605
668	1219	603
669	1221	601
670	1223	599
671	1225	598
672	1227	596
673	1229	594
674	1230	592
675	1232	590
676	1234	588
677	1236	587
678	1237	585
679	1239	583
680	1241	581
681	1243	579
682	1244	577
683	1246	575
684	1248	574
685	1250	572
686	1251	570
687	1253	568
688	1255	566
689	1256	564
690	1258	562
691	1260	561
692	1262	559
693	1264	557
694	1265	555
695	1267	553
696	1269	551
697	1271	549
698	1272	548
699	1274	546
700	1276	544
701	1278	542
702	1280	540
703	1281	538
704	1283	537
705	1285	535
706	1287	533
707	1288	531
708	1290	529
709	1292	527
710	1294	525
711	1295	524
712	1297	522
713	1299	520
714	1301	518
715	1302	516
716	1304	514
717	1306	513
718	1308	511
719	1310	509
720	1311	507
721	1313	505
722	1315	503
723	1317	502
724	1318	500
725	1320	498
726	1322	496
727	1324	494
728	1326	493
729	1328	491
730	1330	489
731	1332	487
732	1334	485
733	1335	484
734	1337	482
735	1339	480
736	1341	478
737	1343	476
738	1344	475
739	1346	473
740	1348	471
741	1350	469
742	1352	467
743	1353	465
744	1355	463
745	1357	462
746	1359	460
747	1360	458
748	1362	456
749	1365	455
750	1367	453
751	1369	451
752	1371	449
753	1373	448
754	1375	446
755	1377	444
756	1379	442
757	1381	441
758	1383	439
759	1385	437
760	1387	435
761	1389	434
762	1392	432
763	1394	430
764	1396	428
765	1398	427
766	1400	425
767	1402	423
768	1404	421
769	1406	420
770	1408	418
771	1410	416
772	1413	414
773	1414	413
774	1416	411
775	1418	409
776	1421	407
777	1422	406
778	1424	404
779	1426	402
780	1428	400
781	1430	398
782	1432	397
783	1434	395
784	1436	393
785	1438	391
786	1440	389
787	1442	388
788	1444	386
789	1446	384
790	1448	382
791	1450	380
792	1452	379
793	1454	377
794	1456	375
795	1458	373
796	1461	372
797	1463	370
798	1465	368
799	1467	366
800	1468	364
801	1471	363
802	1472	361
803	1474	359
804	1476	357
805	1479	356
806	1481	354
807	1483	352
808	1485	350
809	1487	348
810	1489	347
811	1491	345
812	1493	343
813	1494	341
814	1497	339
815	1499	338
816	1501	336
817	1503	334
818	1505	332
819	1507	330
820	1509	329
821	1511	327
822	1513	325
823	1516	323
824	1518	322
825	1520	320
826	1522	318
827	1524	316
828	1526	314
829	1528	313
830	1530	311
831	1532	309
832	1534	307
833	1536	305
834	1538	304
835	1540	302
836	1542	300
837	1544	298
838	1547	296
839	1549	295
840	1551	293
841	1553	291
842	1555	289
843	1558	287
844	1559	286
845	1562	284
846	1564	282
847	1566	280
848	1568	278
849	1569	277
850	1572	275
851	1574	273
852	1576	271
853	1578	269
854	1580	268
855	1582	266
856	1584	264
857	1586	262
858	1588	260
859	1590	258
860	1593	257
861	1595	255
862	1597	253
863	1599	251
864	1601	249
865	1603	248
866	1605	246
867	1607	244
868	1610	242
869	1612	240
870	1614	239
871	1616	237
872	1618	235
873	1620	233
874	1622	231
875	1624	229
876	1626	228
877	1628	226
878	1630	224
879	1632	222
880	1634	220
881	1636	218
882	1638	217
883	1639	215
884	1641	213
885	1643	211
886	1645	209
887	1647	207
888	1649	205
889	1651	204
890	1653	202
891	1655	200
892	1657	198
893	1659	196
894	1661	194
895	1664	193
896	1666	191
897	1668	189
898	1670	187
899	1672	185
900	1674	183
901	1676	182
902	1678	180
903	1680	178
904	1682	176
905	1684	174
906	1686	172
907	1688	171
908	1690	169
909	1692	167
910	1694	165
911	1697	163
912	1698	161
913	1700	160
914	1702	158
915	1704	156
916	1705	154
917	1707	152
918	1709	150
919	1711	148
920	1712	146
921	1714	145
922	1716	143
923	1718	141
924	1719	139
925	1721	137
926	1723	135
927	1725	133
928	1726	131
929	1728	130
930	1730	128
931	1732	126
932	1733	124
933	1735	122
934	1737	120
935	1738	118
936	1740	117
937	1742	115
938	1744	113
939	1745	111
940	1747	109
941	1749	107
942	1751	105
943	1752	103
944	1754	102
945	1756	100
946	1757	98
947	1759	96
948	1761	94
949	1763	92
950	1764	90
951	1766	89
952	1768	87
953	1770	85
954	1772	83
955	1773	81
956	1775	79
957	1777	77
958	1778	76
959	1780	74
960	1782	72
961	1784	70
962	1785	68
963	1787	66
964	1789	64
965	1791	63
966	1792	61
967	1794	59
968	1796	57
969	1797	55
970	1799	53
971	1801	51
972	1803	50
973	1805	48
974	1807	46
975	1808	44
976	1810	42
977	1812	40
978	1814	38
979	1815	37
980	1817	35
981	1819	33
982	1821	31
983	1822	29
984	1824	27
985	1826	25
986	1827	24
987	1829	22
988	1831	20
989	1833	18
990	1834	16
991	1836	14
992	1838	12
993	1839	11
994	1841	9
995	1843	7
996	1845	5
997	1847	3
998	1848	1
999	1850	0
